ID,Header,Name,Equation,Charge Type,Utility Network,Service Type,Energy Source,Level,Flags,Control Number,Correlation Code,Linked Measure,State,Is Informational,Is Consumption,Is Measured,Is Summary,Active,AmountSign,Has Rules,Is Non-Elective Service Fee,History
430292,null // Water Service,Less Interest,,Interest on Deposit,Undefined,Water,,ServicePoint,,HLB25070100132,,Active,No,No,No,No,Yes,,No,No,Yes,
423367,null // Sewer Service,Balance Forward - Sewer Service,,Previous Balance Amount,Undefined,Sewer,,ServicePoint,,HID23020903634,,Active,No,No,No,No,Yes,,No,No,Yes,
399707,null // Water Service,Groundwater Fee Rfnd,,Adjustment – General,Undefined,Water,,ServicePoint,,HLE25020500764,,Active,No,No,No,No,Yes,,No,No,Yes,
393967,null // Water Service,Annual Interest,,Interest on Deposit,Undefined,Water,,ServicePoint,,HLA25012400010,,Active,No,No,No,No,Yes,,No,No,Yes,
393948,null // Water Service,Baton Rouge Water Total Charges,,Subtotal,Undefined,Water,,ServicePoint,,PSA23090707186,,Active,Yes,No,No,Yes,Yes,,No,No,Yes,
374858,null // Water Service,Less Deposit,,Deposit Return,,,,Location,,PSA25010409409,,Active,No,,,No,Yes,,No,No,Yes,
355039,null // Sewer Service,Sewer,|{Usage} Units,Service Fee,Undefined,Sewer,,ServicePoint,,HID23020903634,,Active,No,No,No,No,Yes,,No,No,Yes,
355038,null // Sewer Service,Garbage,,Service Fee,Undefined,Trash,,ServicePoint,,HMB23030200922,,Active,No,No,No,No,Yes,,No,Yes,Yes,
353216,null // Water Service,GROUNDWATER FEE,,Service Fee,Undefined,Water,,ServicePoint,,PSA21081613674,,Active,No,No,No,No,Yes,,No,No,Yes,
353215,null // null,GROUNDWATER FEE,,Service Fee,Undefined,Water,,ServicePoint,,HLA21061000106,,Active,No,No,No,No,Yes,,No,No,Yes,
342037,null // Waste Service,Balance Past Due - Waste Services,,Previous Balance Remaining,,,,Account,,HPB24082600229,,Active,Yes,,,No,Yes,,No,No,Yes,
341488,null // Waste Service,East Baton Rouge Parish Total Charges,,Subtotal,Undefined,Trash,,ServicePoint,,PSA23090707186,,Active,Yes,No,No,Yes,Yes,,No,No,Yes,
286630,null // Water Service,SPRINKLER,|{Number} / |{Number},Service Fee,Undefined,Sprinklers,,ServicePoint,,PSA22121508934,,Active,No,No,No,No,Yes,,No,No,Yes,
284698,null // Waste Service,Sewer,|{Usage} Units,Usage Fee,Undefined,Sewer,,ServicePoint,,PSA23100417509,100 Cubic Feet Usage,Active,No,Yes,Yes,No,Yes,,No,No,Yes,
281667,null // null,Waste Services,,Subtotal,,,,Account,,PSA23110620748,,Active,Yes,,,No,Yes,,No,No,Yes,
281665,null // Waste Service,Garbage,,Service Fee,Undefined,Trash,,ServicePoint,,PSA23101228909,,Active,No,No,No,No,Yes,,No,No,Yes,
275905,null // null,Water Service,,Subtotal,Undefined,Water,,ServicePoint,,PSA21081613674,100 Cubic Feet Usage,Active,Yes,Yes,Yes,Yes,Yes,,No,No,Yes,
268144,null // null,East Baton Rouge Parish Waste Services,,Subtotal,Undefined,Sewer,,ServicePoint,,HMA23090800220,,Active,Yes,No,No,No,Yes,,No,No,Yes,
267539,null // Water Service,Baton Rouge Water Current Charges,,Subtotal,Undefined,Water,,ServicePoint,,PSA23090707186,,Active,Yes,No,No,Yes,Yes,,No,No,Yes,
